danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.875,0.639,4,-7.131,0,0.0372,0.356,0.805,0.111,0.8,130.009,audio_features,5oHZEMGaOWyR3ilnRO1TEU,spotify:track:5oHZEMGaOWyR3ilnRO1TEU,https://api.spotify.com/v1/tracks/5oHZEMGaOWyR3ilnRO1TEU,https://api.spotify.com/v1/audio-analysis/5oHZEMGaOWyR3ilnRO1TEU,255356,4
0.825,0.392,2,-15.021,1,0.107,0.0319,0.786,0.112,0.509,92.511,audio_features,2m7Po7UlCsX59EAbRldmFr,spotify:track:2m7Po7UlCsX59EAbRldmFr,https://api.spotify.com/v1/tracks/2m7Po7UlCsX59EAbRldmFr,https://api.spotify.com/v1/audio-analysis/2m7Po7UlCsX59EAbRldmFr,135293,4
0.865,0.359,6,-7.921,1,0.0363,0.14,0.869,0.0857,0.503,122.001,audio_features,4FDnvXV4VRRwCIni75xho9,spotify:track:4FDnvXV4VRRwCIni75xho9,https://api.spotify.com/v1/tracks/4FDnvXV4VRRwCIni75xho9,https://api.spotify.com/v1/audio-analysis/4FDnvXV4VRRwCIni75xho9,212960,4
0.891,0.369,8,-8.087,1,0.0557,0.391,0.585,0.106,0.719,100.021,audio_features,4jSE62RlWF2f2FhUGSJKz5,spotify:track:4jSE62RlWF2f2FhUGSJKz5,https://api.spotify.com/v1/tracks/4jSE62RlWF2f2FhUGSJKz5,https://api.spotify.com/v1/audio-analysis/4jSE62RlWF2f2FhUGSJKz5,228000,4
0.421,0.323,5,-12.004,0,0.0987,0.741,0.102,0.106,0.343,177.361,audio_features,5tMhZKeC4oIVSo4tB9IXFF,spotify:track:5tMhZKeC4oIVSo4tB9IXFF,https://api.spotify.com/v1/tracks/5tMhZKeC4oIVSo4tB9IXFF,https://api.spotify.com/v1/audio-analysis/5tMhZKeC4oIVSo4tB9IXFF,186818,4
0.783,0.437,9,-9.94,0,0.115,0.787,0.864,0.116,0.456,150.036,audio_features,6CHqmwChCZWmHjKvLklDGV,spotify:track:6CHqmwChCZWmHjKvLklDGV,https://api.spotify.com/v1/tracks/6CHqmwChCZWmHjKvLklDGV,https://api.spotify.com/v1/audio-analysis/6CHqmwChCZWmHjKvLklDGV,158320,4
0.715,0.647,8,-8.329,0,0.0499,0.175,0.784,0.583,0.712,86.04,audio_features,2zI8ycaS3DTGTSlb6oNUBT,spotify:track:2zI8ycaS3DTGTSlb6oNUBT,https://api.spotify.com/v1/tracks/2zI8ycaS3DTGTSlb6oNUBT,https://api.spotify.com/v1/audio-analysis/2zI8ycaS3DTGTSlb6oNUBT,133953,4
0.525,0.46,4,-8.459,0,0.0651,0.149,0.775,0.15,0.549,158.503,audio_features,2jNMLUn4k1bEIpPOc8mbxm,spotify:track:2jNMLUn4k1bEIpPOc8mbxm,https://api.spotify.com/v1/tracks/2jNMLUn4k1bEIpPOc8mbxm,https://api.spotify.com/v1/audio-analysis/2jNMLUn4k1bEIpPOc8mbxm,119016,4
0.729,0.725,9,-6.723,0,0.0834,0.108,0.896,0.248,0.685,80.526,audio_features,4ottW467kmXEBQ7nxy512h,spotify:track:4ottW467kmXEBQ7nxy512h,https://api.spotify.com/v1/tracks/4ottW467kmXEBQ7nxy512h,https://api.spotify.com/v1/audio-analysis/4ottW467kmXEBQ7nxy512h,176982,4
0.706,0.576,10,-7.936,0,0.0617,0.86,0.905,0.114,0.486,95.005,audio_features,1Yh58JNWDU7YbmdfoEcIg1,spotify:track:1Yh58JNWDU7YbmdfoEcIg1,https://api.spotify.com/v1/tracks/1Yh58JNWDU7YbmdfoEcIg1,https://api.spotify.com/v1/audio-analysis/1Yh58JNWDU7YbmdfoEcIg1,144000,4
